ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2014,6,Mata Atlântica,123.03846907031699,123.614,0.576,0.47
2014,6,Cerrado,117.15467457077885,116.423,-0.732,-0.62
2014,6,Caatinga,88.94818353450646,88.4822,-0.466,-0.52
2015,6,Mata Atlântica,122.93908623766919,123.2206,0.282,0.23
2015,6,Cerrado,122.17797791395199,122.4541,0.276,0.23
2015,6,Caatinga,92.4812027106531,92.2408,-0.24,-0.26
2016,6,Mata Atlântica,99.0292343038653,99.5596,0.53,0.54
2016,6,Cerrado,68.44829007661313,68.3225,-0.126,-0.18
2016,6,Caatinga,69.56105696663403,69.5138,-0.047,-0.07
2017,6,Mata Atlântica,127.43715686690233,127.9068,0.47,0.37
2017,6,Cerrado,98.18133783421138,97.8212,-0.36,-0.37
2017,6,Caatinga,77.13138047519615,76.857,-0.274,-0.36
2018,6,Mata Atlântica,131.09219578198304,131.8158,0.724,0.55
2018,6,Cerrado,118.84727899323455,118.4909,-0.356,-0.3
2018,6,Caatinga,91.23625842106024,90.9069,-0.329,-0.36
2019,6,Mata Atlântica,125.24646911657562,125.4611,0.215,0.17
2019,6,Cerrado,127.3458633554409,126.6644,-0.681,-0.53
2019,6,Caatinga,96.84873708208153,96.1937,-0.655,-0.68
2020,6,Mata Atlântica,140.86807903288604,141.6425,0.774,0.55
2020,6,Cerrado,151.0898740332562,151.1364,0.047,0.03
2020,6,Caatinga,138.31076810678653,138.295,-0.016,-0.01
2001,7,Mata Atlântica,134.588468492084,135.6736,1.085,0.81
2001,7,Cerrado,58.76049745160471,58.6063,-0.154,-0.26
2001,7,Caatinga,75.42977633749024,75.5775,0.148,0.2
2002,7,Mata Atlântica,134.27084992540796,135.3717,1.101,0.82
2002,7,Cerrado,41.43632462076731,41.3217,-0.115,-0.28
2002,7,Caatinga,68.59139305623873,68.6364,0.045,0.07
2003,7,Mata Atlântica,132.56186406539416,133.6005,1.039,0.78
2003,7,Cerrado,79.23198004059677,79.0959,-0.136,-0.17
2003,7,Caatinga,84.59668081433165,84.6741,0.077,0.09
2004,7,Mata Atlântica,143.48236893892522,144.3252,0.843,0.59
2004,7,Cerrado,97.01293608229118,96.7911,-0.222,-0.23
2004,7,Caatinga,97.30430482558324,97.1158,-0.189,-0.19
2005,7,Mata Atlântica,145.94370951172172,146.6827,0.739,0.51
2005,7,Cerrado,111.33330165494364,111.0503,-0.283,-0.25
2005,7,Caatinga,104.58501726113654,104.3517,-0.233,-0.22
2006,7,Mata Atlântica,152.0145219082423,152.9707,0.956,0.63
2006,7,Cerrado,111.78366144949527,111.4647,-0.319,-0.29
2006,7,Caatinga,113.76548036483602,113.4803,-0.285,-0.25
2007,7,Mata Atlântica,127.56933682329743,128.3708,0.801,0.63
2007,7,Cerrado,64.71319049165972,64.4561,-0.257,-0.4
2007,7,Caatinga,78.27778195046822,78.0823,-0.195,-0.25
2008,7,Mata Atlântica,138.94294448374296,139.6319,0.689,0.5
2008,7,Cerrado,93.81586176143597,93.473,-0.343,-0.37
